"month_date","year","month","net_revenue","total_orders","unique_customers","avg_order_value","prev_month_revenue","mom_growth_percentage"
"2024-12-01",2024,12,"91475.31","79","75","1157.92","97666.24","-6.34"
"2024-11-01",2024,11,"97666.24","78","64","1252.13","99096.72","-1.44"
"2024-10-01",2024,10,"99096.72","83","75","1193.94","78587.98","26.10"
"2024-09-01",2024,9,"78587.98","75","67","1047.84","105507.58","-25.51"
"2024-08-01",2024,8,"105507.58","87","77","1212.73","101705.05","3.74"
"2024-07-01",2024,7,"101705.05","88","75","1155.74","101970.30","-0.26"
"2024-06-01",2024,6,"101970.30","83","73","1228.56","91560.75","11.37"
"2024-05-01",2024,5,"91560.75","81","72","1130.38","86843.31","5.43"
"2024-04-01",2024,4,"86843.31","75","68","1157.91","131880.13","-34.15"
"2024-03-01",2024,3,"131880.13","100","87","1318.80","96590.13","36.54"
"2024-02-01",2024,2,"96590.13","78","69","1238.34","103996.43","-7.12"
"2024-01-01",2024,1,"103996.43","93","80","1118.24","",""
