"restaurant_id","restaurant_name","city","rating","revenue","total_orders","revenue_rank","revenue_percentage","revenue_vs_avg"
176,"Delhi Darbar 176","Chennai","3.50","13877.56","9","1","1.17","9826.78"
92,"Burger Factory 92","Mumbai","3.70","13162.58","8","2","1.11","9111.80"
288,"Urban Tadka 288","Delhi","3.60","12386.44","8","3","1.04","8335.66"
41,"Golden Spoon 41","Delhi","4.90","11065.40","8","4","0.93","7014.62"
71,"Saffron Delight 71","Mumbai","3.40","11001.43","7","5","0.93","6950.65"
212,"Saffron Delight 212","Bangalore","4.90","10926.50","7","6","0.92","6875.72"
213,"Pizza Junction 213","Bangalore","4.90","9479.48","5","7","0.80","5428.70"
200,"Chai & Chat 200","Chennai","4.60","9419.76","7","8","0.79","5368.98"
147,"The Food Studio 147","Kolkata","4.70","9413.07","5","9","0.79","5362.29"
252,"Mumbai Masala 252","Chennai","4.60","9088.22","7","10","0.77","5037.44"
295,"Spice Villa 295","Chennai","4.40","8926.39","6","11","0.75","4875.61"
161,"Pizza Junction 161","Kolkata","4.00","8906.70","6","12","0.75","4855.92"
253,"Spice Villa 253","Kolkata","3.80","8782.96","7","13","0.74","4732.18"
56,"Kolkata Kitchen 56","Kolkata","3.90","8725.18","8","14","0.74","4674.40"
112,"Punjabi Dhaba 112","Mumbai","3.00","8374.05","5","15","0.71","4323.27"
86,"The Food Studio 86","Delhi","3.70","8230.37","6","16","0.69","4179.59"
215,"Dragon Wok 215","Bangalore","4.00","8108.65","6","17","0.68","4057.87"
201,"Biryani House 201","Bangalore","3.80","8083.05","4","18","0.68","4032.27"
156,"Pizza Junction 156","Chennai","3.10","7956.84","7","19","0.67","3906.06"
146,"Mumbai Masala 146","Chennai","4.60","7868.08","7","20","0.66","3817.30"
296,"Bombay Bistro 296","Delhi","4.90","7841.98","8","21","0.66","3791.20"
276,"Punjabi Dhaba 276","Mumbai","4.90","7791.88","6","22","0.66","3741.10"
120,"Delhi Darbar 120","Bangalore","4.40","7763.58","6","23","0.65","3712.80"
285,"Biryani House 285","Mumbai","4.40","7662.93","7","24","0.65","3612.15"
284,"Chai & Chat 284","Chennai","3.10","7649.69","8","25","0.64","3598.91"
242,"Dragon Wok 242","Kolkata","5.00","7591.44","5","26","0.64","3540.66"
249,"Golden Spoon 249","Bangalore","4.90","7541.99","6","27","0.64","3491.21"
158,"Dragon Wok 158","Delhi","3.80","7537.08","4","28","0.64","3486.30"
168,"Annapurna Bhavan 168","Bangalore","3.90","7496.39","7","29","0.63","3445.61"
237,"Mughal Mahal 237","Bangalore","3.80","7457.34","5","30","0.63","3406.56"
155,"Delhi Darbar 155","Delhi","3.80","7374.86","8","31","0.62","3324.08"
74,"Golden Spoon 74","Kolkata","3.30","7271.42","6","32","0.61","3220.64"
174,"Delhi Darbar 174","Delhi","3.30","7169.82","5","33","0.60","3119.04"
55,"Masala Magic 55","Chennai","4.10","7137.17","7","34","0.60","3086.39"
103,"The Curry Leaf 103","Delhi","4.60","7027.01","5","35","0.59","2976.23"
93,"South Spice 93","Bangalore","4.00","6982.75","5","36","0.59","2931.97"
300,"Annapurna Bhavan 300","Kolkata","4.10","6956.08","10","37","0.59","2905.30"
142,"The Curry Leaf 142","Mumbai","4.00","6948.59","4","38","0.59","2897.81"
259,"Urban Tadka 259","Kolkata","4.10","6866.20","5","39","0.58","2815.42"
63,"Masala Magic 63","Chennai","4.70","6786.59","9","40","0.57","2735.81"
172,"Chutney Express 172","Mumbai","3.10","6740.17","4","41","0.57","2689.39"
184,"Dragon Wok 184","Delhi","4.10","6702.09","4","42","0.56","2651.31"
136,"Punjabi Dhaba 136","Mumbai","3.00","6686.82","4","43","0.56","2636.04"
35,"Flavours of India 35","Delhi","3.90","6658.59","5","44","0.56","2607.81"
177,"Chutney Express 177","Mumbai","4.20","6648.56","5","45","0.56","2597.78"
233,"Punjabi Dhaba 233","Mumbai","3.20","6567.24","5","46","0.55","2516.46"
291,"South Spice 291","Mumbai","3.40","6539.18","4","47","0.55","2488.40"
164,"Mughal Mahal 164","Mumbai","4.10","6519.98","4","48","0.55","2469.20"
269,"Urban Tadka 269","Kolkata","5.00","6514.41","5","49","0.55","2463.63"
90,"The Food Studio 90","Mumbai","3.20","6476.27","4","50","0.55","2425.49"
88,"Burger Factory 88","Kolkata","4.30","6297.51","5","51","0.53","2246.73"
218,"Annapurna Bhavan 218","Chennai","4.20","6292.83","4","52","0.53","2242.05"
196,"Punjabi Dhaba 196","Bangalore","3.60","6271.64","4","53","0.53","2220.86"
69,"Masala Magic 69","Chennai","3.80","6266.34","4","54","0.53","2215.56"
293,"Golden Spoon 293","Kolkata","3.50","6241.83","4","55","0.53","2191.05"
135,"Mumbai Masala 135","Mumbai","3.60","6176.70","6","56","0.52","2125.92"
292,"Burger Factory 292","Chennai","4.40","6170.30","3","57","0.52","2119.52"
52,"Dragon Wok 52","Mumbai","3.10","6141.66","5","58","0.52","2090.88"
12,"Curry Kingdom 12","Chennai","4.10","6136.88","5","59","0.52","2086.10"
85,"The Hungry Panda 85","Bangalore","4.90","6110.71","5","60","0.51","2059.93"
79,"Dragon Wok 79","Kolkata","3.60","6104.44","5","61","0.51","2053.66"
104,"The Food Studio 104","Chennai","4.50","6095.20","6","62","0.51","2044.42"
251,"Flavours of India 251","Bangalore","3.20","6030.77","5","63","0.51","1979.99"
91,"Curry Kingdom 91","Kolkata","3.50","6016.86","4","64","0.51","1966.08"
60,"Chai & Chat 60","Delhi","3.80","6008.48","4","65","0.51","1957.70"
230,"The Curry Leaf 230","Bangalore","3.60","5974.01","4","66","0.50","1923.23"
236,"Burger Factory 236","Kolkata","3.90","5930.62","4","67","0.50","1879.84"
268,"The Hungry Panda 268","Bangalore","3.60","5905.06","4","68","0.50","1854.28"
122,"Kolkata Kitchen 122","Mumbai","3.90","5891.62","4","69","0.50","1840.84"
84,"Dragon Wok 84","Delhi","4.10","5886.62","5","70","0.50","1835.84"
24,"Delhi Darbar 24","Kolkata","3.60","5863.55","3","71","0.49","1812.77"
219,"South Spice 219","Delhi","3.30","5813.48","3","72","0.49","1762.70"
34,"South Spice 34","Kolkata","4.50","5793.37","5","73","0.49","1742.59"
96,"Mumbai Masala 96","Mumbai","5.00","5772.33","6","74","0.49","1721.55"
3,"South Spice 3","Kolkata","4.20","5731.05","3","75","0.48","1680.27"
44,"Golden Spoon 44","Delhi","4.50","5708.91","5","76","0.48","1658.13"
267,"Taste of Punjab 267","Chennai","4.90","5697.45","6","77","0.48","1646.67"
203,"Golden Spoon 203","Kolkata","3.70","5692.39","5","78","0.48","1641.61"
193,"The Curry Leaf 193","Chennai","4.20","5691.44","4","79","0.48","1640.66"
73,"Kolkata Kitchen 73","Bangalore","3.10","5650.35","5","80","0.48","1599.57"
133,"Biryani House 133","Bangalore","4.30","5538.42","5","81","0.47","1487.64"
228,"Pizza Junction 228","Delhi","3.00","5537.71","5","82","0.47","1486.93"
145,"South Spice 145","Kolkata","4.20","5493.93","3","83","0.46","1443.15"
143,"Royal Tandoor 143","Kolkata","4.80","5409.79","4","84","0.46","1359.01"
226,"Mumbai Masala 226","Mumbai","3.40","5377.35","4","85","0.45","1326.57"
40,"Pizza Junction 40","Kolkata","4.20","5333.85","5","86","0.45","1283.07"
243,"South Spice 243","Bangalore","3.10","5328.49","4","87","0.45","1277.71"
179,"Curry Kingdom 179","Kolkata","4.90","5274.47","4","88","0.44","1223.69"
77,"The Food Studio 77","Kolkata","4.20","5228.25","5","89","0.44","1177.47"
214,"Chai & Chat 214","Chennai","4.70","5223.16","3","90","0.44","1172.38"
223,"Annapurna Bhavan 223","Chennai","3.60","5209.31","5","91","0.44","1158.53"
54,"Royal Tandoor 54","Bangalore","4.00","5206.84","4","92","0.44","1156.06"
167,"Taste of Punjab 167","Chennai","3.10","5153.39","5","93","0.43","1102.61"
46,"The Hungry Panda 46","Kolkata","4.90","5077.01","3","94","0.43","1026.23"
67,"Golden Spoon 67","Mumbai","4.80","5049.71","5","95","0.43","998.93"
232,"Caf̩ Masaledar 232","Bangalore","4.20","4988.42","4","96","0.42","937.64"
238,"Masala Magic 238","Kolkata","4.00","4949.20","3","97","0.42","898.42"
25,"Chai & Chat 25","Chennai","4.80","4910.43","3","98","0.41","859.65"
150,"Rasoi Ghar 150","Bangalore","4.00","4845.14","4","99","0.41","794.36"
255,"Golden Spoon 255","Chennai","3.40","4782.22","4","100","0.40","731.44"
31,"Bombay Bistro 31","Chennai","3.10","4735.75","6","101","0.40","684.97"
127,"Tandoori Nights 127","Chennai","4.50","4727.45","3","102","0.40","676.67"
274,"Taste of Punjab 274","Chennai","3.60","4711.23","4","103","0.40","660.45"
117,"Masala Magic 117","Delhi","4.20","4704.60","4","104","0.40","653.82"
278,"Curry Kingdom 278","Chennai","4.10","4661.41","4","105","0.39","610.63"
94,"The Food Studio 94","Delhi","4.30","4605.59","4","106","0.39","554.81"
115,"Annapurna Bhavan 115","Kolkata","4.90","4588.65","4","107","0.39","537.87"
286,"Urban Tadka 286","Mumbai","3.20","4587.98","3","108","0.39","537.20"
205,"Mughal Mahal 205","Bangalore","3.50","4586.87","4","109","0.39","536.09"
297,"Dragon Wok 297","Bangalore","4.90","4564.41","3","110","0.38","513.63"
140,"Golden Spoon 140","Chennai","3.30","4557.62","4","111","0.38","506.84"
16,"Taste of Punjab 16","Delhi","3.60","4522.62","3","112","0.38","471.84"
95,"Rasoi Ghar 95","Bangalore","3.00","4502.08","3","113","0.38","451.30"
21,"Masala Magic 21","Kolkata","4.40","4496.29","3","114","0.38","445.51"
148,"Pizza Junction 148","Chennai","4.50","4484.77","4","115","0.38","433.99"
195,"Flavours of India 195","Mumbai","3.40","4410.94","3","116","0.37","360.16"
47,"Caf̩ Masaledar 47","Kolkata","4.40","4406.02","4","117","0.37","355.24"
239,"Biryani House 239","Kolkata","4.80","4390.06","4","118","0.37","339.28"
4,"Royal Tandoor 4","Delhi","3.40","4359.09","3","119","0.37","308.31"
220,"Dragon Wok 220","Bangalore","5.00","4343.35","3","120","0.37","292.57"
99,"The Food Studio 99","Mumbai","3.10","4317.79","3","121","0.36","267.01"
126,"Annapurna Bhavan 126","Bangalore","3.30","4305.80","3","122","0.36","255.02"
159,"Spice Villa 159","Bangalore","4.50","4300.69","4","123","0.36","249.91"
118,"Chutney Express 118","Bangalore","4.20","4286.45","3","124","0.36","235.67"
181,"Delhi Darbar 181","Delhi","4.40","4215.27","2","125","0.36","164.49"
207,"Pizza Junction 207","Mumbai","3.40","4200.31","3","126","0.35","149.53"
244,"Mumbai Masala 244","Mumbai","4.00","4171.86","4","127","0.35","121.08"
263,"Rasoi Ghar 263","Chennai","3.50","4130.07","4","128","0.35","79.29"
154,"The Curry Leaf 154","Chennai","3.30","4112.64","4","129","0.35","61.86"
250,"Rasoi Ghar 250","Kolkata","3.90","4065.79","4","130","0.34","15.01"
248,"Taste of Punjab 248","Mumbai","3.80","4061.20","4","131","0.34","10.42"
198,"Delhi Darbar 198","Delhi","4.40","4029.99","4","132","0.34","-20.79"
53,"Chai & Chat 53","Delhi","3.10","3991.22","5","133","0.34","-59.56"
188,"Rasoi Ghar 188","Chennai","3.30","3982.18","4","134","0.34","-68.60"
206,"Curry Kingdom 206","Mumbai","3.20","3953.87","2","135","0.33","-96.91"
290,"Saffron Delight 290","Mumbai","3.80","3921.07","3","136","0.33","-129.71"
83,"Mumbai Masala 83","Delhi","3.90","3890.40","3","137","0.33","-160.38"
13,"Rasoi Ghar 13","Kolkata","4.20","3882.11","3","138","0.33","-168.67"
28,"Dragon Wok 28","Chennai","3.80","3879.29","4","139","0.33","-171.49"
261,"Curry Kingdom 261","Mumbai","4.90","3820.41","2","140","0.32","-230.37"
199,"Golden Spoon 199","Kolkata","4.40","3795.31","3","141","0.32","-255.47"
80,"Masala Magic 80","Mumbai","4.40","3760.65","3","142","0.32","-290.13"
166,"Spice Villa 166","Delhi","3.90","3753.88","4","143","0.32","-296.90"
51,"Flavours of India 51","Delhi","4.10","3746.74","3","144","0.32","-304.04"
66,"Caf̩ Masaledar 66","Mumbai","3.80","3746.02","4","145","0.32","-304.76"
225,"Royal Tandoor 225","Kolkata","3.20","3702.71","5","146","0.31","-348.07"
235,"Biryani House 235","Delhi","4.60","3686.64","4","147","0.31","-364.14"
240,"Kolkata Kitchen 240","Bangalore","3.50","3650.35","3","148","0.31","-400.43"
173,"Chai & Chat 173","Delhi","4.90","3638.62","2","149","0.31","-412.16"
182,"Chai & Chat 182","Mumbai","4.40","3607.14","2","150","0.30","-443.64"
61,"Flavours of India 61","Delhi","3.40","3576.26","5","151","0.30","-474.52"
265,"Burger Factory 265","Kolkata","4.80","3560.02","2","152","0.30","-490.76"
254,"Delhi Darbar 254","Kolkata","4.20","3526.72","5","153","0.30","-524.06"
280,"Taste of Punjab 280","Mumbai","3.90","3497.93","3","154","0.29","-552.85"
134,"Burger Factory 134","Bangalore","4.60","3494.25","2","155","0.29","-556.53"
137,"The Curry Leaf 137","Chennai","4.70","3491.64","2","156","0.29","-559.14"
48,"Madras Cafe 48","Bangalore","5.00","3476.59","3","157","0.29","-574.19"
162,"Masala Magic 162","Chennai","3.10","3466.00","5","158","0.29","-584.78"
157,"Rasoi Ghar 157","Chennai","4.80","3459.53","3","159","0.29","-591.25"
124,"Taste of Punjab 124","Delhi","4.80","3449.34","3","160","0.29","-601.44"
272,"Annapurna Bhavan 272","Chennai","4.70","3447.26","2","161","0.29","-603.52"
20,"Pizza Junction 20","Mumbai","3.90","3411.51","2","162","0.29","-639.27"
186,"Flavours of India 186","Delhi","4.60","3398.63","4","163","0.29","-652.15"
109,"Madras Cafe 109","Delhi","4.70","3397.43","5","164","0.29","-653.35"
229,"Mughal Mahal 229","Kolkata","3.60","3393.46","3","165","0.29","-657.32"
9,"Delhi Darbar 9","Bangalore","3.20","3387.91","3","166","0.29","-662.87"
70,"Kolkata Kitchen 70","Kolkata","4.40","3384.87","2","167","0.29","-665.91"
