"restaurant_id","restaurant_name","city","rating","revenue","total_orders"
176,"Delhi Darbar 176","Chennai","3.50","13877.56","9"
92,"Burger Factory 92","Mumbai","3.70","13162.58","8"
288,"Urban Tadka 288","Delhi","3.60","12386.44","8"
41,"Golden Spoon 41","Delhi","4.90","11065.40","8"
71,"Saffron Delight 71","Mumbai","3.40","11001.43","7"
212,"Saffron Delight 212","Bangalore","4.90","10926.50","7"
213,"Pizza Junction 213","Bangalore","4.90","9479.48","5"
200,"Chai & Chat 200","Chennai","4.60","9419.76","7"
147,"The Food Studio 147","Kolkata","4.70","9413.07","5"
252,"Mumbai Masala 252","Chennai","4.60","9088.22","7"
295,"Spice Villa 295","Chennai","4.40","8926.39","6"
161,"Pizza Junction 161","Kolkata","4.00","8906.70","6"
253,"Spice Villa 253","Kolkata","3.80","8782.96","7"
56,"Kolkata Kitchen 56","Kolkata","3.90","8725.18","8"
112,"Punjabi Dhaba 112","Mumbai","3.00","8374.05","5"
86,"The Food Studio 86","Delhi","3.70","8230.37","6"
215,"Dragon Wok 215","Bangalore","4.00","8108.65","6"
201,"Biryani House 201","Bangalore","3.80","8083.05","4"
156,"Pizza Junction 156","Chennai","3.10","7956.84","7"
146,"Mumbai Masala 146","Chennai","4.60","7868.08","7"
296,"Bombay Bistro 296","Delhi","4.90","7841.98","8"
276,"Punjabi Dhaba 276","Mumbai","4.90","7791.88","6"
120,"Delhi Darbar 120","Bangalore","4.40","7763.58","6"
285,"Biryani House 285","Mumbai","4.40","7662.93","7"
284,"Chai & Chat 284","Chennai","3.10","7649.69","8"
242,"Dragon Wok 242","Kolkata","5.00","7591.44","5"
249,"Golden Spoon 249","Bangalore","4.90","7541.99","6"
158,"Dragon Wok 158","Delhi","3.80","7537.08","4"
168,"Annapurna Bhavan 168","Bangalore","3.90","7496.39","7"
237,"Mughal Mahal 237","Bangalore","3.80","7457.34","5"
155,"Delhi Darbar 155","Delhi","3.80","7374.86","8"
74,"Golden Spoon 74","Kolkata","3.30","7271.42","6"
174,"Delhi Darbar 174","Delhi","3.30","7169.82","5"
55,"Masala Magic 55","Chennai","4.10","7137.17","7"
103,"The Curry Leaf 103","Delhi","4.60","7027.01","5"
93,"South Spice 93","Bangalore","4.00","6982.75","5"
300,"Annapurna Bhavan 300","Kolkata","4.10","6956.08","10"
142,"The Curry Leaf 142","Mumbai","4.00","6948.59","4"
259,"Urban Tadka 259","Kolkata","4.10","6866.20","5"
63,"Masala Magic 63","Chennai","4.70","6786.59","9"
172,"Chutney Express 172","Mumbai","3.10","6740.17","4"
184,"Dragon Wok 184","Delhi","4.10","6702.09","4"
136,"Punjabi Dhaba 136","Mumbai","3.00","6686.82","4"
