"restaurant_id","restaurant_name","city","cuisine","rating","total_revenue","total_orders","unique_customers","avg_order_value"
176,"Delhi Darbar 176","Chennai","Desserts","3.50","13877.56","9","9","1541.95"
92,"Burger Factory 92","Mumbai","Desserts","3.70","13162.58","8","8","1645.32"
288,"Urban Tadka 288","Delhi","Indian","3.60","12386.44","8","8","1548.31"
41,"Golden Spoon 41","Delhi","Indian","4.90","11065.40","8","8","1383.18"
71,"Saffron Delight 71","Mumbai","Italian","3.40","11001.43","7","7","1571.63"
212,"Saffron Delight 212","Bangalore","Indian","4.90","10926.50","7","7","1560.93"
213,"Pizza Junction 213","Bangalore","Desserts","4.90","9479.48","5","5","1895.90"
200,"Chai & Chat 200","Chennai","Fast Food","4.60","9419.76","7","7","1345.68"
147,"The Food Studio 147","Kolkata","Fast Food","4.70","9413.07","5","5","1882.61"
252,"Mumbai Masala 252","Chennai","South Indian","4.60","9088.22","7","7","1298.32"
