"restaurant_id","name","city","avg_rating","revenue"
242,"Dragon Wok 242","Kolkata","5.000000","7591.44"
269,"Urban Tadka 269","Kolkata","5.000000","6514.41"
96,"Mumbai Masala 96","Mumbai","5.000000","5772.33"
220,"Dragon Wok 220","Bangalore","5.000000","4343.35"
48,"Madras Cafe 48","Bangalore","5.000000","3476.59"
275,"Golden Spoon 275","Chennai","5.000000","2374.23"
105,"Caf̩ Masaledar 105","Mumbai","5.000000","1820.26"
68,"Bombay Bistro 68","Chennai","5.000000","994.49"
245,"Mughal Mahal 245","Bangalore","5.000000","178.45"
41,"Golden Spoon 41","Delhi","4.900000","11065.40"
212,"Saffron Delight 212","Bangalore","4.900000","10926.50"
213,"Pizza Junction 213","Bangalore","4.900000","9479.48"
296,"Bombay Bistro 296","Delhi","4.900000","7841.98"
276,"Punjabi Dhaba 276","Mumbai","4.900000","7791.88"
249,"Golden Spoon 249","Bangalore","4.900000","7541.99"
85,"The Hungry Panda 85","Bangalore","4.900000","6110.71"
267,"Taste of Punjab 267","Chennai","4.900000","5697.45"
179,"Curry Kingdom 179","Kolkata","4.900000","5274.47"
46,"The Hungry Panda 46","Kolkata","4.900000","5077.01"
115,"Annapurna Bhavan 115","Kolkata","4.900000","4588.65"
297,"Dragon Wok 297","Bangalore","4.900000","4564.41"
261,"Curry Kingdom 261","Mumbai","4.900000","3820.41"
173,"Chai & Chat 173","Delhi","4.900000","3638.62"
18,"Delhi Darbar 18","Bangalore","4.900000","2543.11"
180,"Dragon Wok 180","Chennai","4.900000","2531.56"
178,"Kolkata Kitchen 178","Delhi","4.900000","1137.91"
283,"Taste of Punjab 283","Kolkata","4.900000","937.88"
65,"Chai & Chat 65","Kolkata","4.900000","22.25"
143,"Royal Tandoor 143","Kolkata","4.800000","5409.79"
67,"Golden Spoon 67","Mumbai","4.800000","5049.71"
25,"Chai & Chat 25","Chennai","4.800000","4910.43"
239,"Biryani House 239","Kolkata","4.800000","4390.06"
265,"Burger Factory 265","Kolkata","4.800000","3560.02"
157,"Rasoi Ghar 157","Chennai","4.800000","3459.53"
124,"Taste of Punjab 124","Delhi","4.800000","3449.34"
138,"Biryani House 138","Chennai","4.800000","3294.28"
119,"The Hungry Panda 119","Delhi","4.800000","2079.63"
192,"The Curry Leaf 192","Delhi","4.800000","1334.08"
36,"Mughal Mahal 36","Delhi","4.800000","1072.45"
147,"The Food Studio 147","Kolkata","4.700000","9413.07"
63,"Masala Magic 63","Chennai","4.700000","6786.59"
214,"Chai & Chat 214","Chennai","4.700000","5223.16"
137,"The Curry Leaf 137","Chennai","4.700000","3491.64"
272,"Annapurna Bhavan 272","Chennai","4.700000","3447.26"
109,"Madras Cafe 109","Delhi","4.700000","3397.43"
170,"Rasoi Ghar 170","Chennai","4.700000","3238.72"
15,"Mumbai Masala 15","Bangalore","4.700000","1491.48"
298,"Madras Cafe 298","Bangalore","4.700000","1295.28"
241,"Biryani House 241","Mumbai","4.700000","657.54"
282,"Chai & Chat 282","Delhi","4.700000","590.52"
200,"Chai & Chat 200","Chennai","4.600000","9419.76"
252,"Mumbai Masala 252","Chennai","4.600000","9088.22"
146,"Mumbai Masala 146","Chennai","4.600000","7868.08"
103,"The Curry Leaf 103","Delhi","4.600000","7027.01"
235,"Biryani House 235","Delhi","4.600000","3686.64"
134,"Burger Factory 134","Bangalore","4.600000","3494.25"
186,"Flavours of India 186","Delhi","4.600000","3398.63"
222,"Punjabi Dhaba 222","Kolkata","4.600000","2798.23"
183,"Urban Tadka 183","Kolkata","4.600000","2517.46"
141,"Madras Cafe 141","Delhi","4.600000","2221.07"
107,"Kolkata Kitchen 107","Bangalore","4.600000","2029.09"
144,"Curry Kingdom 144","Chennai","4.600000","1287.38"
22,"Rasoi Ghar 22","Delhi","4.600000","1116.89"
217,"Taste of Punjab 217","Chennai","4.600000","558.00"
104,"The Food Studio 104","Chennai","4.500000","6095.20"
34,"South Spice 34","Kolkata","4.500000","5793.37"
44,"Golden Spoon 44","Delhi","4.500000","5708.91"
127,"Tandoori Nights 127","Chennai","4.500000","4727.45"
148,"Pizza Junction 148","Chennai","4.500000","4484.77"
159,"Spice Villa 159","Bangalore","4.500000","4300.69"
169,"Flavours of India 169","Chennai","4.500000","3132.70"
266,"Taste of Punjab 266","Delhi","4.500000","2236.04"
160,"Taste of Punjab 160","Chennai","4.500000","2134.64"
149,"Golden Spoon 149","Chennai","4.500000","1899.37"
7,"Dragon Wok 7","Bangalore","4.500000","1494.43"
1,"Chai & Chat 1","Delhi","4.500000","1433.17"
39,"Delhi Darbar 39","Mumbai","4.500000","1233.32"
2,"The Curry Leaf 2","Mumbai","4.500000","681.24"
271,"Chutney Express 271","Bangalore","4.500000","309.44"
295,"Spice Villa 295","Chennai","4.400000","8926.39"
120,"Delhi Darbar 120","Bangalore","4.400000","7763.58"
285,"Biryani House 285","Mumbai","4.400000","7662.93"
292,"Burger Factory 292","Chennai","4.400000","6170.30"
21,"Masala Magic 21","Kolkata","4.400000","4496.29"
47,"Caf̩ Masaledar 47","Kolkata","4.400000","4406.02"
181,"Delhi Darbar 181","Delhi","4.400000","4215.27"
198,"Delhi Darbar 198","Delhi","4.400000","4029.99"
199,"Golden Spoon 199","Kolkata","4.400000","3795.31"
80,"Masala Magic 80","Mumbai","4.400000","3760.65"
182,"Chai & Chat 182","Mumbai","4.400000","3607.14"
70,"Kolkata Kitchen 70","Kolkata","4.400000","3384.87"
211,"Bombay Bistro 211","Bangalore","4.400000","3284.93"
97,"Bombay Bistro 97","Chennai","4.400000","3167.79"
121,"Spice Villa 121","Kolkata","4.400000","2757.35"
33,"Pizza Junction 33","Delhi","4.400000","2755.36"
87,"Bombay Bistro 87","Chennai","4.400000","2129.05"
281,"Masala Magic 281","Bangalore","4.400000","2012.05"
139,"Dragon Wok 139","Mumbai","4.400000","1830.72"
231,"Taste of Punjab 231","Chennai","4.400000","1491.62"
258,"Chai & Chat 258","Kolkata","4.400000","1215.24"
131,"Mughal Mahal 131","Chennai","4.400000","820.54"
88,"Burger Factory 88","Kolkata","4.300000","6297.51"
133,"Biryani House 133","Bangalore","4.300000","5538.42"
94,"The Food Studio 94","Delhi","4.300000","4605.59"
19,"Chai & Chat 19","Delhi","4.300000","3342.24"
187,"Curry Kingdom 187","Chennai","4.300000","2892.83"
59,"Mughal Mahal 59","Delhi","4.300000","2434.58"
130,"Tandoori Nights 130","Kolkata","4.300000","2416.39"
14,"Madras Cafe 14","Delhi","4.300000","2105.12"
247,"Tandoori Nights 247","Bangalore","4.300000","1546.11"
114,"Biryani House 114","Bangalore","4.300000","452.08"
177,"Chutney Express 177","Mumbai","4.200000","6648.56"
218,"Annapurna Bhavan 218","Chennai","4.200000","6292.83"
3,"South Spice 3","Kolkata","4.200000","5731.05"
193,"The Curry Leaf 193","Chennai","4.200000","5691.44"
145,"South Spice 145","Kolkata","4.200000","5493.93"
40,"Pizza Junction 40","Kolkata","4.200000","5333.85"
77,"The Food Studio 77","Kolkata","4.200000","5228.25"
232,"Caf̩ Masaledar 232","Bangalore","4.200000","4988.42"
117,"Masala Magic 117","Delhi","4.200000","4704.60"
118,"Chutney Express 118","Bangalore","4.200000","4286.45"
13,"Rasoi Ghar 13","Kolkata","4.200000","3882.11"
254,"Delhi Darbar 254","Kolkata","4.200000","3526.72"
202,"The Curry Leaf 202","Bangalore","4.200000","2233.16"
208,"Golden Spoon 208","Bangalore","4.200000","1245.43"
10,"Curry Kingdom 10","Bangalore","4.200000","474.81"
116,"Curry Kingdom 116","Bangalore","4.200000","299.43"
55,"Masala Magic 55","Chennai","4.100000","7137.17"
300,"Annapurna Bhavan 300","Kolkata","4.100000","6956.08"
259,"Urban Tadka 259","Kolkata","4.100000","6866.20"
184,"Dragon Wok 184","Delhi","4.100000","6702.09"
164,"Mughal Mahal 164","Mumbai","4.100000","6519.98"
12,"Curry Kingdom 12","Chennai","4.100000","6136.88"
84,"Dragon Wok 84","Delhi","4.100000","5886.62"
278,"Curry Kingdom 278","Chennai","4.100000","4661.41"
51,"Flavours of India 51","Delhi","4.100000","3746.74"
32,"Annapurna Bhavan 32","Kolkata","4.100000","2814.75"
270,"Golden Spoon 270","Mumbai","4.100000","2633.55"
171,"Golden Spoon 171","Delhi","4.100000","2138.26"
72,"Royal Tandoor 72","Kolkata","4.100000","1489.40"
165,"Caf̩ Masaledar 165","Chennai","4.100000","936.52"
5,"The Hungry Panda 5","Kolkata","4.100000","887.08"
224,"Dragon Wok 224","Chennai","4.100000","137.26"
161,"Pizza Junction 161","Kolkata","4.000000","8906.70"
215,"Dragon Wok 215","Bangalore","4.000000","8108.65"
93,"South Spice 93","Bangalore","4.000000","6982.75"
142,"The Curry Leaf 142","Mumbai","4.000000","6948.59"
54,"Royal Tandoor 54","Bangalore","4.000000","5206.84"
238,"Masala Magic 238","Kolkata","4.000000","4949.20"
150,"Rasoi Ghar 150","Bangalore","4.000000","4845.14"
244,"Mumbai Masala 244","Mumbai","4.000000","4171.86"
38,"Curry Kingdom 38","Bangalore","4.000000","3254.68"
185,"South Spice 185","Bangalore","4.000000","2695.82"
37,"Masala Magic 37","Kolkata","4.000000","1842.53"
194,"Annapurna Bhavan 194","Bangalore","4.000000","1689.42"
29,"The Curry Leaf 29","Mumbai","4.000000","1037.13"
56,"Kolkata Kitchen 56","Kolkata","3.900000","8725.18"
168,"Annapurna Bhavan 168","Bangalore","3.900000","7496.39"
35,"Flavours of India 35","Delhi","3.900000","6658.59"
236,"Burger Factory 236","Kolkata","3.900000","5930.62"
122,"Kolkata Kitchen 122","Mumbai","3.900000","5891.62"
250,"Rasoi Ghar 250","Kolkata","3.900000","4065.79"
83,"Mumbai Masala 83","Delhi","3.900000","3890.40"
166,"Spice Villa 166","Delhi","3.900000","3753.88"
280,"Taste of Punjab 280","Mumbai","3.900000","3497.93"
20,"Pizza Junction 20","Mumbai","3.900000","3411.51"
256,"Pizza Junction 256","Mumbai","3.900000","3077.58"
190,"Punjabi Dhaba 190","Kolkata","3.900000","2962.98"
260,"Biryani House 260","Mumbai","3.900000","2637.30"
11,"Punjabi Dhaba 11","Delhi","3.900000","1506.56"
246,"Tandoori Nights 246","Chennai","3.900000","450.15"
253,"Spice Villa 253","Kolkata","3.800000","8782.96"
201,"Biryani House 201","Bangalore","3.800000","8083.05"
158,"Dragon Wok 158","Delhi","3.800000","7537.08"
237,"Mughal Mahal 237","Bangalore","3.800000","7457.34"
155,"Delhi Darbar 155","Delhi","3.800000","7374.86"
69,"Masala Magic 69","Chennai","3.800000","6266.34"
60,"Chai & Chat 60","Delhi","3.800000","6008.48"
248,"Taste of Punjab 248","Mumbai","3.800000","4061.20"
290,"Saffron Delight 290","Mumbai","3.800000","3921.07"
28,"Dragon Wok 28","Chennai","3.800000","3879.29"
66,"Caf̩ Masaledar 66","Mumbai","3.800000","3746.02"
58,"Curry Kingdom 58","Chennai","3.800000","2434.00"
125,"The Hungry Panda 125","Bangalore","3.800000","2361.01"
62,"Pizza Junction 62","Chennai","3.800000","1982.68"
273,"Madras Cafe 273","Mumbai","3.800000","337.59"
92,"Burger Factory 92","Mumbai","3.700000","13162.58"
86,"The Food Studio 86","Delhi","3.700000","8230.37"
203,"Golden Spoon 203","Kolkata","3.700000","5692.39"
17,"Chai & Chat 17","Bangalore","3.700000","3156.61"
277,"Saffron Delight 277","Kolkata","3.700000","3062.05"
204,"Kolkata Kitchen 204","Kolkata","3.700000","2883.38"
289,"Royal Tandoor 289","Bangalore","3.700000","2857.70"
101,"Saffron Delight 101","Delhi","3.700000","2558.36"
